pais,cod_pais,grado,dominio,estimulo,indicador,variable,grupo,asterisco,categoria_1,categoria_2,categoria_3,categoria_4,porcentaje_acuerdo,nota
Argentina,ar,3,Convenciones de legibilidad,Baile,Ortografía inicial,Sexo,Niños,0,3.72,8.36,47.27,40.66,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Ortografía inicial,Sexo,Niñas,0,2.94,8.43,47.40,41.24,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Ortografía inicial,Ruralidad,Zona Urbana,0,2.88,8.15,46.90,42.07,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Ortografía inicial,Ruralidad,Zona Rural,0,6.98,10.56,51.64,30.83,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Puntuación,Sexo,Niños,0,53.87,4.16,3.17,38.80,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Puntuación,Sexo,Niñas,0,43.63,3.57,3.05,49.74,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Puntuación,Ruralidad,Zona Urbana,0,46.86,4.13,3.11,45.91,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Puntuación,Ruralidad,Zona Rural,0,61.49,1.32,3.06,34.13,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Ortografía inicial,Sexo,Niños,0,7.76,15.57,46.13,30.53,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Ortografía inicial,Sexo,Niñas,0,6.96,13.30,46.80,32.94,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
