componente,ambito,concepto,porcentaje_region,pais,decl,prog,ambos,solo_decl,solo_prog,ninguno,presencia
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,MEX,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,NIC,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,PER,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,ARG,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,BOL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,CHL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,ECU,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,SAL,,,,,,NINGUNO,NINGUNO
