componente,ambito,concepto,porcentaje,pais,declarado,programado
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,ARG,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,BOL,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,BRA,1,0
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,CHL,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,COL,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,CRI,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,CUB,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,ECU,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,GUA,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,HON,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,MEX,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,NIC,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,PAN,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,PAR,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,PER,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,REP,1,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,SAL,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,URU,0,1
Educación para el desarrollo sostenible,Contenidos de medioambiente,Biodiversidad,95,VEN,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,ARG,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,BOL,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,BRA,0,0
