pais,codigo,porcentaje_3grado,porcentaje_6grado,comparativo_barra,letra_magn,letra_ord,nombre_categoria,materia,ej_3grado,ej_6grado
ARG,ar,6,3,Argentina,1,A,Estadística y probabilidad,Matemáticas,Elaborar preguntas o enunciados de problemas y registrar y organizar datos en tablas y gráficos sencillos a partir de distintas informaciones. (3° grado),"Interpretar y organizar información presentada en textos, tablas y distintos tipos de gráficos, incluyendo los estadísticos. (6° grado)"
ARG,ar,24,28,Argentina,1,B,Geometría,Matemáticas,"Figuras y Cuerpos geométricos: características, número de lados o vértices, la presencia de bordes curvos o rectos, la igualdad de la medida de sus lados, forma y número de caras. (3° grado)",Composición y descomposición de figuras geométricas. (6° grado)
ARG,ar,12,17,Argentina,1,C,Magnitudes y medidas,Matemáticas,"Unidades de medida de longitud, capacidades y pesos, de uso frecuente y medios y cuartos de esas unidades. (3° grado)",Unidades de medida: pertinencia. (6° grado)
ARG,ar,59,48,Argentina,1,D,Número y operaciones,Matemáticas,"Analizar el valor posicional en contextos significativos al leer, escribir, comparar números de una, dos, tres, cuatro y más cifras y al operar con ellos. (3° grado)",Analizar afirmaciones sobre las relaciones y propiedades que diferencian los números naturales de las fracciones y las expresiones decimales. (6° grado)
ARG,ar,0,3,Argentina,1,E,Patrones y álgebra,Matemáticas,No hay ejemplos en el currículo de este país.,"Analizar relaciones entre cantidades y números para determinar y describir regularidades, incluyendo el caso de la proporcionalidad. (6° grado)"
ARG,ar,40,25,Argentina,1,B,Conocimiento sobre el código,Escritura,"La duda sobre la correcta escritura de palabras y el descubrimiento, el reconocimiento y la aplicación de algunas convenciones ortográficas propias del sistema (Ej: mb, nr) y reglas sin excepciones (Ej: -z  à ces, -aba del pretérito imperfecto) y uso de mayúsculas (3°grado).","El conocimiento de reglas de acentuación, uso de letras y puntuación, y de la ortografía correspondiente al vocabulario de uso, lo que supone reconocer y emplear:  tilde diacrítica (por ej., mi/mí, de/dé, si/sí, entre otros); tildación de los adverbios terminados en “mente”; algunas reglas ortográficas básicas, por ejemplo, las referidas a los afijos vinculados con el vocabulario especializado: hiper-, hipo-, hidro-, geo-, hema-, -logía, entre otros; algunos homófonos, (por ej. hecho/echo, raya/rallar, halla/haya, entre otros); signos de puntuación: coma para la aclaración y para la aposición; palabras de alta frecuencia de uso (por ej. las correspondientes al vocabulario especializado de las áreas curriculares, tales como ciudadanía, fotosíntesis, descripción, tecnología); mayúscula en tratamientos abreviados (por ej., Dr./Sr.) y en abreviaturas (6° grado)."
ARG,ar,20,17,Argentina,1,E,Procesos involucrados en la escritura,Escritura,"La escritura asidua de diversos textos (…) en el marco de condiciones que permitan discutir y consensuar el propósito, idear el contenido con el maestro, redactar y releer borradores del texto (revisando su organización, la ortografía y la puntuación) y reformularlo conjuntamente a partir de las orientaciones del docente (3° grado).","La escritura de textos en el marco de condiciones que permitan conjuntamente con el docente, sus pares y/o de manera individual, planificar el texto en función de los parámetros de la situación comunicativa y del texto elegido y, de ser necesario, consultar material bibliográfico, vincular la información presente en los textos de consulta, seleccionando de cada uno lo relevante o distintivo, tomar notas jerarquizando la información e identificando las fuentes de consulta; redactar realizando por lo menos un borrador del texto previamente planificado; revisar el texto, concentrándose selectivamente en algunos aspectos (…). Reformular el escrito, conjuntamente con el docente, sus pares o en forma individual, a partir de las orientaciones del primero (6° grado)."
ARG,ar,10,17,Argentina,1,C,Escritura Diversidad Textual,Escritura,"La escritura asidua de diversos textos -narraciones que incluyan descripción de personajes o ambientes y diálogos, cartas personales y esquelas, notas de enciclopedia, etc.- que puedan ser comprendidos por ellos y por otros (…) (3° grado).","La escritura de textos no ficcionales con un propósito comunicativo determinado: narraciones, presentando las personas, respetando o alterando intencionalmente el orden cronológico (temporal), presentando causalidad de las acciones e incluyendo, si el texto elegido y la situación comunicativa lo requieren, diálogos y descripciones (…); exposiciones de más de tres párrafos que incluyan presentación del tema, desarrollo y cierre, ejemplos, comparaciones, definiciones (…); cartas formales con distintos propósitos y destinatarios, respetando el registro formal y utilizando las frases de apertura y cierre adecuadas al mismo (…) (6° grado)."
ARG,ar,10,17,Argentina,1,D,Morfosintaxis,Escritura,"El reconocimiento de sustantivos comunes (concretos) y propios, adjetivos (calificativos) y verbos de acción (3° grado).","La reflexión a través de la identificación, con ayuda del docente, de unidades y relaciones gramaticales (…) de los textos leídos y producidos en el año, lo que supone reconocer y emplear: (…) - sujeto expreso y sujeto tácito, y su uso según las circunstancias, para lograr la cohesión del texto o como recurso de estilo (…);  - sustantivos, adjetivos, artículos, verbos, adverbios y pronombres personales en caso nominativo. Algunas variaciones morfológicas principales tales como género, número, tiempo, modos (indicativo e imperativo) y persona, y las relaciones de algunos de estos cambios con la funcionalidad del texto (…) (6° año grado)"
ARG,ar,20,25,Argentina,1,A,Coherencia y cohesión,Escritura,"La escritura de textos no ficcionales con un propósito comunicativo determinado (…). Para todos los textos, supone mantener la idea expresada (…), emplear los conectores apropiados, ajustarse a la organización propia del texto e incluir el vocabulario aprendido que refiera al tema tratado, evitando repeticiones innecesarias (3° grado).","La escritura de textos en el marco de condiciones que permitan conjuntamente con el docente, sus pares y/o de manera individual, (…) revisar el texto, concentrándose selectivamente en algunos aspectos (organización de las ideas, desarrollo del/de los tema/s, respeto de la forma, empleo del vocabulario, organización de la oración, puntuación, ortografía, empleo de conectores) (…) (6° grado)."
