"cod_pais","pais","dato_pais_grado_3","dato_pais_grado_6","dato_grupo_grado_3","dato_grupo_grado_6","dato_region_grado_3","dato_region_grado_6","letra_magn","letra_ord","materia","nombre_categoria","descripcion_categoria","ej_3grado","ej_6grado","grupo","region"
"ar","Argentina","","0.00","","16.00","","16.51","1.00","A","Ciencias","Ciencia, tecnolog??a y sociedad","Refiere a la ciencia y la tecnolog??a como construcciones humanas influenciadas por el contexto sociocultural, pol??tico y econ??mico. Incluye temas relativos al impacto de la ciencia y la tecnolog??a en la salud y en el medio ambiente.","","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","","13.00","","17.00","","22.54","1.00","B","Ciencias","Cuerpo humano y salud","Conocimiento parcial del cuerpo humano, y comprensi??n de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de ??rganos; conocimiento sobre la importancia de la salud para el bienestar general.","","El reconocimiento de la importancia de la prevenci??n de enfermedades relacionadas con los sistemas de ??rganos. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","","20.00","","14.00","","12.19","1.00","C","Ciencias","Ecolog??a y medioambiente","Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecol??gico en relaci??n con los recursos naturales y su importancia para la vida en el planeta, adem??s de la noci??n de cadena tr??fica, su din??mica general y relevancia.","","Modelos de nutrici??n en un ecosistema, relaciones que se establecen entre los organismos representativos de cada modelo. Relaciones tr??ficas y su representaci??n gr??fica mediante redes y cadenas.","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","","27.00","","12.00","","11.16","1.00","D","Ciencias","La energ??a y sus manifestaciones","Conocimientos de la noci??n de energ??a. Incluye el calor como una transferencia de energ??a; manifestaciones de energ??a en el planeta; y la noci??n de fuerza.","","El reconocimiento del calor como una forma de transferencia de energ??a. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","","13.00","","11.00","","7.41","1.00","E","Ciencias","La materia y sus transformaciones","Conocimientos de la estructura at??mica y molecular y algunos estados de agregaci??n.Clasificaci??n de los materiales en sustancias puras o mezclas, y descripci??n de algunos m??todos de separaci??n.","","","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","","20.00","","18.00","","17.42","1.00","F","Ciencias","La tierra y el universo","Conocimiento de las capas de la Tierra, su composici??n y din??mica; movimientos ???externos??? del planeta; fen??menos naturales Incluye la noci??n de Sistema Solar; el conocimiento de los planetas y de la Luna.","","Describir los cuerpos que integran el Sistema Solar; movimiento de traslaci??n de los planetas en torno al Sol. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","","7.00","","12.00","","12.78","1.00","G","Ciencias","Seres vivos","Conocimiento sobre el ciclo de vida en los seres vivos, as?? como la noci??n de c??lula, particularmente, de su estructura y funci??n en los seres vivos.","","El acercamiento a la noci??n de c??lula como unidad estructural y funcional desde la perspectiva de los niveles de organizaci??n de los seres vivos.","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","20.00","25.00","14.00","13.00","8.75","9.26","1.00","A","Escritura","Coherencia y cohesi??n","Caracter??sticas que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos ling????sticos para mantener las oraciones unidas (cohesi??n).","La escritura de textos no ficcionales con un prop??sito comunicativo determinado (???). Para todos los textos, supone mantener la idea expresada (???), emplear los conectores apropiados, ajustarse a la organizaci??n propia del texto e incluir el vocabulario aprendido que refiera al tema tratado, evitando repeticiones innecesarias (3?? grado).","La escritura de textos en el marco de condiciones que permitan conjuntamente con el docente, sus pares y/o de manera individual, (???) revisar el texto, concentr??ndose selectivamente en algunos aspectos (organizaci??n de las ideas, desarrollo del/de los tema/s, respeto de la forma, empleo del vocabulario, organizaci??n de la oraci??n, puntuaci??n, ortograf??a, empleo de conectores) (???) (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","40.00","25.00","27.00","30.00","29.33","28.82","1.00","B","Escritura","Conocimiento sobre el c??digo","Conocimiento del sistema alfab??tico, de grafemas (letras) y fonemas (sonidos). Tambi??n considera aspectos caligr??ficos y ortogr??ficos, y relaciones de significado, (sin??nimos y ant??nimos).","La duda sobre la correcta escritura de palabras y el descubrimiento, el reconocimiento y la aplicaci??n de algunas convenciones ortogr??ficas propias del sistema (Ej: mb, nr) y reglas sin excepciones (Ej: -z ?? ces, -aba del pret??rito imperfecto) y uso de may??sculas (3??grado).","El conocimiento de reglas de acentuaci??n, uso de letras y puntuaci??n, y de la ortograf??a correspondiente al vocabulario de uso, lo que supone reconocer y emplear: tilde diacr??tica (por ej., mi/m??, de/d??, si/s??, entre otros); tildaci??n de los adverbios terminados en ???mente???; algunas reglas ortogr??ficas b??sicas, por ejemplo, las referidas a los afijos vinculados con el vocabulario especializado: hiper-, hipo-, hidro-, geo-, hema-, -log??a, entre otros; algunos hom??fonos, (por ej. hecho/echo, raya/rallar, halla/haya, entre otros); signos de puntuaci??n: coma para la aclaraci??n y para la aposici??n; palabras de alta frecuencia de uso (por ej. las correspondientes al vocabulario especializado de las ??reas curriculares, tales como ciudadan??a, fotos??ntesis, descripci??n, tecnolog??a); may??scula en tratamientos abreviados (por ej., Dr./Sr.) y en abreviaturas (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","10.00","16.67","18.00","22.00","20.87","23.47","1.00","C","Escritura","Escritura Diversidad Textual","Escritura de diversos tipos textuales, los que tienen diferentes prop??sitos comunicativos y formas de organizar la informaci??n seg??n g??nero (cuento, an??cdota, comic, art??culo, etc.)","La escritura asidua de diversos textos -narraciones que incluyan descripci??n de personajes o ambientes y di??logos, cartas personales y esquelas, notas de enciclopedia, etc.- que puedan ser comprendidos por ellos y por otros (???) (3?? grado).","La escritura de textos no ficcionales con un prop??sito comunicativo determinado: narraciones, presentando las personas, respetando o alterando intencionalmente el orden cronol??gico (temporal), presentando causalidad de las acciones e incluyendo, si el texto elegido y la situaci??n comunicativa lo requieren, di??logos y descripciones (???); exposiciones de m??s de tres p??rrafos que incluyan presentaci??n del tema, desarrollo y cierre, ejemplos, comparaciones, definiciones (???); cartas formales con distintos prop??sitos y destinatarios, respetando el registro formal y utilizando las frases de apertura y cierre adecuadas al mismo (???) (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","10.00","16.67","13.00","10.00","15.47","15.10","1.00","D","Escritura","Morfosintaxis","Es lo que se entiende por gram??tica. Comprende la morfolog??a, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexi??n. Tambi??n considera la sintaxis: funciones que adquieren las palabras en una oraci??n (sujeto, verbo, complementos).","El reconocimiento de sustantivos comunes (concretos) y propios, adjetivos (calificativos) y verbos de acci??n (3?? grado).","La reflexi??n a trav??s de la identificaci??n, con ayuda del docente, de unidades y relaciones gramaticales (???) de los textos le??dos y producidos en el a??o, lo que supone reconocer y emplear: (???) - sujeto expreso y sujeto t??cito, y su uso seg??n las circunstancias, para lograr la cohesi??n del texto o como recurso de estilo (???); - sustantivos, adjetivos, art??culos, verbos, adverbios y pronombres personales en caso nominativo. Algunas variaciones morfol??gicas principales tales como g??nero, n??mero, tiempo, modos (indicativo e imperativo) y persona, y las relaciones de algunos de estos cambios con la funcionalidad del texto (???) (6?? a??o grado)","Sudam??rica","Am??rica Latina y el Caribe"
