pais,dato,numeros
Ecuador,Total de la matrícula,"4082041, 4204113, 4353411, 4419128, 4528040, 4694302, 4593241, 4548925, 4481369, 4429885, 4338779, 4231839"
Colombia,Total de la matrícula,"8844, 9913, 11214, 11847, 11801, 11828, 10789, 8925, 8352, 8275, 11167, 11912"
Otros Países de América,Total de la matrícula,"6543, 6758, 7391, 7813, 8051, 8758, 9712, 10322, 13187, 11503, 10404, 8314"
Otros Continentes,Total de la matrícula,"4713, 5843, 7336, 9180, 11017, 12451, 13009, 12571, 11981, 11348, 11132, 8110"
Perú,Total de la matrícula,"1083, 1141, 1194, 1248, 1229, 1243, 1195, 1140, 1178, 1242, 1603, 1620"
Venezuela,Total de la matrícula,"0, 0, 0, 0, 0, 0, 0, 0, 0, 10768, 33945, 52982"
Ecuador,Distribución de la matrícula,"99.48, 99.44, 99.38, 99.32, 99.30, 99.28, 99.25, 99.28, 99.23, 99.04, 98.45, 98.08"
Colombia,Distribución de la matrícula,"0.22, 0.23, 0.26, 0.27, 0.26, 0.25, 0.23, 0.19, 0.18, 0.18, 0.25, 0.28"
Otros Países de América,Distribución de la matrícula,"0.16, 0.16, 0.17, 0.18, 0.18, 0.19, 0.21, 0.23, 0.29, 0.26, 0.24, 0.19"
Otros Continentes,Distribución de la matrícula,"0.11, 0.14, 0.17, 0.21, 0.24, 0.26, 0.28, 0.27, 0.27, 0.25, 0.25, 0.19"
Perú,Distribución de la matrícula,"0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.03, 0.03, 0.04, 0.04"
Venezuela,Distribución de la matrícula,"0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.77, 1.23"
